Title,Arranger,Voicing
Stouthearted Men,David Wright,TTBB
Strange Sight,Ken Potter,TTBB
Such A Night,Aaron Dale,TTBB
Suddenly,Rob Hopkins,TTBB
Sugar (That Sugar Baby O'Mine),Adam Reimnitz,TTBB
Sunny Side Up,Greg Volk,TTBB
Supercalifragilisticexpialidocious (Parody),Anthony Bartholomew,TTBB
Superhero Medley,Patrick McAlexander,TTBB
Surfer Girl,Aaron Dale,TTBB
Swan Song Medley,Matt Astle,TTBB
Sweet Caroline,Gene Cokeroft,TTBB
Sweet Lorraine,Mark Hale/David Wright,TTBB
Sweet Pea,Aaron Dale,TTBB
Sweet Roses Of Morn,Robert Rund,TTBB
'Taint What You Do (It’s The Way That you Do It),Patrick McAlexander,TTBB
Take Me As I Am,Theo Hicks,TTBB
Taking A Chance On Love,Ed Waesche,TTBB
Taking A Chance On Love,Jay Giallombardo,TTBB
Tea For Two,Mark Hale,TTBB
Tell Her About It,Rob Campbell,TTBB
Tell My Father,Garrett Gillingham,TTBB
Ten Minutes Ago (from Cinderella),Brent Graham,TTBB
Ten Minutes Ago (from Cinderella),Patrick McAlexander,TTBB
Tennessee Waltz,Aaron Dale,TTBB
That Lucky Old Sun,David Wright,TTBB
That Old Black Magic,Patrick McAlexander,TTBB
That Old Feeling,David Wright,TTBB
That Tumble-Down Shack In Athlone,Brent Graham,TTBB
That's Life,David Harrington,TTBB
That's What I Call A Pal,Ed Waesche,TTBB
The Best Of Me,Rasmus Krigström,TTBB
The Best Things Happen While You're Dancing (from White Christmas),Steve Tramack,TTBB
The Birth Of The Blues,David Wright,TTBB
The Brotherhood Of Man (Parody),Jay Giallombardo,TTBB
The Coffee Song,Dan Wessler,TTBB
The Curtain Falls,Clay Hine,TTBB
The Darktown Strutters' Ball,Ed Waesche,TTBB
The Frim Fram Sauce,Aaron Dale,TTBB
The Girl I Love,Gary Lewis,TTBB
The Hut-Sut Song,Rasmus Krigström,TTBB
The Impossible Dream Medley,Matt Astle/Ken Potter,TTBB
The Lady Is A Tramp,Wayne Grimmer,TTBB
The Man That Got Away,Greg Mallett,TTBB
The Masquerade Is Over (I'm Afraid),Ed Waesche,TTBB
The More I See You,Brent Graham,TTBB
The More I See You,John Brockman,TTBB
The Nearness Of You (from Romance In The Dark),Ben Ferguson,TTBB
The Nearness Of You (from Romance In The Dark),John Brockman,TTBB
The Next Ten Minutes (from The Last Five Years),Theo Hicks,TTBB
The One I Love (Belongs To Somebody Else),Clay Hine,TTBB
The Party's Over,Steve Armstrong,TTBB
The Right Girl For Me,Brent Graham,TTBB
The Sound Of Music,David Wright,TTBB
The Sunshine Of Your Smile,Tom Gentry,TTBB
The Very Thought Of You,Adam Reimnitz,TTBB
The Very Thought Of You,Jason Dyer,TTBB
The Way You Look Tonight,Mark Hale,TTBB
The Wells Fargo Wagon (Parody),Patrick McAlexander,TTBB
Their Hearts Were Full Of Spring,Aaron Dale,TTBB
"Theme From ""New York, New York""",Patrick McAlexander,TTBB
There Used To Be A Ballpark,Roger Payne,TTBB
There'll Be No New Tunes On This Old Piano,Tom Gentry,TTBB
"There's a Fine, Fine Line (from Avenue Q)",Ben Brown,TTBB
"There's A Long, Long Trail",Kevin Keller,TTBB
There's A New Gang On The Corner,Gene Cokeroft,TTBB
There's A Rainbow 'Round My Shoulder,Jeff Marks,TTBB
There's Nothing That I Haven't Sung About,Clay Hine,TTBB
These Are The Days,Stefan Pugliese,TTBB
These Foolish Things (Remind Me Of You),Rasmus Krigström,TTBB
They Can't Take That Away From Me,Aaron Dale,TTBB
They Didn't Believe Me,David Wright,TTBB
They Just Keep Moving The Line,Steve Tramack,TTBB
Things Are Looking Up,Kevin Keller,TTBB
Things Are Looking Up,Rasmus Krigström,TTBB
Think,Patrick McAlexander,TTBB
This Can't Be Love (from The Boys From Syracuse),Aaron Dale,TTBB
This Can't Be Love (from The Boys From Syracuse),David Wright,TTBB
This Can't Be Love (from The Boys From Syracuse),Wayne Grimmer,TTBB
This Heart Of Mine,Brent Graham,TTBB
This Is All I Ask,"Warren ""Buzz"" Haeger",TTBB
This Is The Moment (from Jekyll & Hyde),Steve Armstrong,TTBB
This Joint is Jumpin',Clay Hine,TTBB
'Til I Hear You Sing (from Love Never Dies),Theo Hicks,TTBB
Till There Was You (from The Music Man),Robert Rund,TTBB
Time After Time,David Wright,TTBB
Time Warp (from The Rocky Horror Show),Melody Hine,TTBB
Together Again (from Sesame Street),Aaron Dale,TTBB
Tomorrow,Rick Spencer,TTBB
Tomorrow Is Promised To No One,Robert Rund,TTBB
Too Darn Hot,Rasmus Krigström,TTBB
Too Darn Hot/Fever,Aaron Dale,TTBB
Too Marvelous For Words,Mark Hale,TTBB
Too Young For The Blues,Aaron Dale,TTBB
"Toot, Toot, Tootsie",Clay Hine,TTBB
Top Of The World,Rob Hopkins,TTBB
Top Of The World Medley,David Wright,TTBB
Topsy Turvy,Patrick McAlexander,TTBB
Toyland,Ed Waesche,TTBB
True Colors,David Wright,TTBB
Tuxedo Junction,Adam Scott,TTBB
Two Of A Kind (Parody),Clay Hine,TTBB
"Two Of A Kind, Workin' On A Full House",Aaron Dale,TTBB
Vegas Medley,Tom Gentry,TTBB
Very Weird Song,Roger Payne,TTBB
Vincent,David Wright,TTBB
"Wait Till The Sun Shines, Nellie","Warren ""Buzz"" Haeger",TTBB
Waitin' For The Light To Shine (from Big River),Joel Guyer,TTBB
Wake Me Up Before You Go-Go,Nick Luna,TTBB
Wake Up Everybody,Patrick McAlexander,TTBB
Walkin' After Midnight,Rick Spencer,TTBB
We Got Us,Kevin Keller,TTBB
We Kiss In A Shadow,David Wright,TTBB
We The People (Parody),Clay Hine,TTBB
Wedding Bells Are Breaking Up That Old Gang Of Mine,David Wright,TTBB
Welcome To The Theatre/Applause (Medley),Mark Hale,TTBB
We've Got A World That Swings,Melody Hine,TTBB
What A Diff'rence a Day Makes,Adam Reimnitz,TTBB
What Are You Doing New Year's Eve?,Aaron Dale,TTBB
What I Did For Love (from Chorus Line),Brent Graham,TTBB
What I Did For Love (from Chorus Line),David Wright,TTBB
What Kind Of Fool Am I?,David Harrington,TTBB
What Kind Of Fool Am I?,Don Gray,TTBB
What More Can A Soldier Give?,Robert Rund,TTBB
Whatcha Gonna Do When There Ain't No Jazz,Patrick McAlexander,TTBB
What'll I Do?,Ed Waesche,TTBB
When Day Is Done,Ed Waesche,TTBB
When I Fall In Love,David Wright,TTBB
When I Grow Too Old To Dream,Theo Hicks,TTBB
When I Leave The World Behind,SPEBSQSA,TTBB
When I Look At You,Rob Hopkins,TTBB
When I Look At You (from The Scarlet Pimpernel),Rob Hopkins,TTBB
When I Lost You,Steve Tramack,TTBB
When It's Night Time Down In Dixieland/Original Dixieland One-Step (Parody),Brent Graham,TTBB
When My Baby Smiles At Me,Mark Hale,TTBB
When She Loved Me (from Toy Story 2),Jimbob Kahlke,TTBB
When She Loved Me (from Toy Story 2),Rasmus Krigström,TTBB
When The Gold Turns To Gray,Jay Giallombardo,TTBB
"When The Red, Red Robin (Comes Bob, Bob, Bobbin' Along)",Ed Waesche,TTBB
When Winter Comes,Brian Mastrull,TTBB
Where The Southern Roses Grow,David Wright,TTBB
Who Can I Turn To?,Jay Giallombardo,TTBB
Who Can I Turn To?,Robert Rund,TTBB
Who Cares? (from Of Thee I Sing),Johnny Bugarin,TTBB
Who'll Dry Your Tears?,Steve Armstrong/Dennis Driscoll,TTBB
Who's Lovin' You?,Aaron Dale,TTBB
Why Don't You Fall In Love With Me?/Undecided (Medley),Clay Hine,TTBB
Why Try To Change Me Now?,Cay Outerbridge,TTBB
Wishing You Were Somehow Here Again,Theo Hicks,TTBB
With A Little Help From My Friends,Patrick McAlexander,TTBB
With You (from Ghost the Musical),Steve Armstrong,TTBB
With You (from Pippin),David Wright,TTBB
Wonderful Day Like Today,Mo Rector,TTBB
Wonderful One,David Wright,TTBB
Words Fail (from Dear Evan Hansen),Rasmus Krigström,TTBB
Wouldn't It Be Loverly,Paul Davies/Ed Waesche,TTBB
Wrap Your Troubles In Dreams,Mark Hale,TTBB
Written In The Stars,Mark Hale,TTBB
Yes I Can,Steve Tramack,TTBB
Yesterday,David Harrington,TTBB
Yesterday I Heard The Rain,Brent Graham,TTBB
Yesterday/A Day In The Life,David Harrington,TTBB
You And I,Kyle Kitzmiller,TTBB
You And I (We Can Conquer The World),David Harrington,TTBB
You And Me (But Mostly Me),Steve Tramack,TTBB
You And Me And The Bottle Makes Three Tonight,Wayne Grimmer,TTBB
You Are My Sunshine,Vicki Uhr,TTBB
You Are The Top/Friendship/Anything Goes,Jeremey Johnson,TTBB
You Belong To Me,Aaron Dale,TTBB
You Brought A New Kind Of Love To Me,Brent Graham,TTBB
You Brought A New Kind Of Love To Me,Larry Triplett,TTBB
You Can't Make Me Love You,Clay Hine,TTBB
You Can't Stop The Beat,David Wright,TTBB
You Don't Know Me,Jim Clancy,TTBB
You Gotta Have Charts,Roger Payne,TTBB
You Keep Coming Back Like A Song,Fraser Brown,TTBB
You Needed Me,Andrew Carolan,TTBB
You Needed Me,Jim Halvorson,TTBB
You Took Advantage Of Me (from Present Arms),Aaron Dale,TTBB
You'd Be So Nice To Come Home To (from Something To Shout About),John Brockman,TTBB
You'll Never Walk Alone,Adam Reimnitz,TTBB
Your Cheatin' Heart,Aaron Dale,TTBB
You're A Heavenly Thing,Dan Wessler,TTBB
You're Falling In Love,Aaron Dale,TTBB
You're From Heaven And You're Mine,David Wright,TTBB
You're Nobody 'Til Somebody Loves You,Clay Hine,TTBB
You're Nobody 'Til Somebody Loves You/Ain't That A Kick In The Head?,Jay Giallombardo,TTBB
You're Still You,Theo Hicks,TTBB
You've Changed,Patrick McAlexander,TTBB
You've Got A Lot To See,Brent Graham,TTBB
Zing! Went the Strings Of My Heart/Get Me To The Church On Time,Kohl Kitzmiller,TTBB
